Entity,Code,Day,Number of parameters,Domain
MegaSyn,,2022-03-07,,Other
Megatron-BERT,,2019-09-17,3900000000,Language
Megatron-LM (355M),,2019-09-17,355000000,Language
Megatron-LM (8.3B),,2019-09-17,8300000000,Language
Megatron-Turing NLG 530B,,2021-10-11,530000000000,Language
MemoReader,,2018-10-31,,Language
Mesh-TensorFlow Transformer 2.9B (translation),,2018-11-05,2900000000,Language
Mesh-TensorFlow Transformer 4.9B (language modelling),,2018-11-05,4900000000,Language
MetNet,,2020-03-24,,Other
Meta Pseudo Labels,,2021-03-01,480000000,Vision
MetaLM,,2022-06-13,,Multimodal
MetaMimic,,2018-10-11,22000000,Games
Mid-level Features,,2010-06-13,,Vision
Midjourney V1,,2022-02-15,,Image generation
Minerva (540B),,2022-06-29,540350000000,Language
Mitosis,,2013-09-22,37230,Other
Mixtral 8x7B,,2023-12-11,46700000000,Language
MnasNet-A1 + SSDLite,,2019-05-29,4900000,Vision
MnasNet-A3,,2019-05-29,5200000,Vision
Mnemonic Reader,,2017-05-08,,Language
MoCo,,2019-11-13,375000000,Other
MoE,,2017-01-23,8700000000,Language
MobileNet,,2017-04-17,4200000,Vision
MobileNetV2,,2018-06-18,3400000,Vision
"Mogrifier (d2, MoS2, MC) + dynamic eval",,2019-09-04,35000000,Language
Mogrifier RLSTM (WT2),,2022-11-03,35000000,Language
Motion-Driven 3D Feature Tracking,,1988-07-01,,Other
MuZero,,2019-11-19,36864000,Games
Multi-cell LSTM,,2018-11-15,7200000,Language
Multi-scale Dilated CNN,,2015-11-23,,Vision
Multi-task Cascaded CNN,,2016-08-26,,Vision
MultiBand Diffusion,,2023-11-08,,Other
Multiresolution CNN,,2014-06-23,126125570,Other
Multiscale deformable part model,,2008-06-23,,Vision
MusicGen,,2023-06-08,3300000000,Other
MusicLM,,2023-01-26,860000000,Other
NAS+ESS (156M),,2020-05-06,156000000,Language
NASNet-A,,2017-07-21,89000000,Vision
NASv3 (CIFAR-10),,2016-11-05,37400000,Vision
NEAT in neuroevolution,,2002-06-01,,Other
NLLB,,2022-07-06,54500000000,Language
NLP from scratch,,2011-11-08,5000000,Language
NMT Transformer 437M,,2019-02-28,437700000,Language
NPLM,,2003-03-15,11904264,Language
NTM,,2014-12-10,,Other
Naive Bayes,,1974-09-01,,Other
